,工作名称,工作城市,工作地点,工作公司,工作薪资,最大薪资(K),最小薪资(K),平均工资(K),工作学历,工作标签,工作经验,招聘详情页链接
1108,python工程师,杭州,杭州,饿了么,25-40K·15薪,40,25,32.5,本科,O2O,5-10年,https://www.zhipin.com/gongsi/12e92393bff967950HNy3w~~.html
1109,Python 开发工程师—工程生产力,杭州,杭州,涂鸦智能,15-30K·16薪,30,15,22.5,本科,互联网,1-3年,https://www.zhipin.com/gongsi/dbc073226b21d2830Hx93d67.html
1110,资深web后端开发工程师-网易伏羲,杭州,杭州,网易,20-40K·16薪,40,20,30.0,本科,移动互联网,5-10年,https://www.zhipin.com/gongsi/38bd5c757efa4ab6331z.html
1111,游戏服务器开发工程师,杭州,杭州·滨江区·长河,网易游戏,25-50K·16薪,50,25,37.5,本科,游戏,3-5年,https://www.zhipin.com/gongsi/1f9c13f93a2492291XRz39S1.html
1112,后端开发工程师（数据库中台）,杭州,杭州·西湖区·西溪,麒盛科技,15-25K·14薪,25,15,20.0,本科,机械设备/机电/重工,3-5年,https://www.zhipin.com/gongsi/fa35f4f89f12391b1XV43NW1Fw~~.html
1113,python工程师,杭州,杭州·西湖区·黄龙,浙商期货,15-30K,30,15,22.5,本科,互联网金融,1-3年,https://www.zhipin.com/gongsi/3d1f057bd3dc8bf003R-39W1.html
1114,Python开发工程师,杭州,杭州,诺诺网,13-20K·15薪,20,13,16.5,本科,互联网,3-5年,https://www.zhipin.com/gongsi/8f0add44ec0837951HR939u-.html
1115,python/java,杭州,杭州·西湖区·高新文教区,美国道富,15-20K,20,15,17.5,本科,互联网金融,1-3年,https://www.zhipin.com/gongsi/53a2090f2104de4d1XV63dS7.html
1116,Python本科西溪园区,杭州,杭州·余杭区·五常,武汉佰钧成技术,15-18K,18,15,16.5,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/71bcdc1198f6c83703J70tq8.html
1117,Python讲师,杭州,杭州·余杭区·仓前,慧科集团,12-18K,18,12,15.0,本科,在线教育,3-5年,https://www.zhipin.com/gongsi/f6fba2b90a6dcb6b03Z93tu7.html
1118,Python开发,杭州,杭州,美创科技,13-18K·13薪,18,13,15.5,本科,信息安全,3-5年,https://www.zhipin.com/gongsi/8ff8277c1d4d83e51XF439i6EA~~.html
1119,阿里UC-垂直搜索应用开发,杭州,杭州·西湖区·文二路,博彦科技,11-12K,12,11,11.5,大专,计算机软件,1-3年,https://www.zhipin.com/gongsi/e715aa1be4283fc21nd62tq5.html
1120,Python开发工程师,杭州,杭州·滨江区·浦沿,NOKIA,13-20K·14薪,20,13,16.5,本科,通信/网络设备,1-3年,https://www.zhipin.com/gongsi/e61cff6f529e1a2203V7396_.html
1121,【2022校招】软件工程师(python),杭州,杭州,国自机器人,11-18K·14薪,18,11,14.5,本科,仪器仪表/工业自动化,在校/应届,https://www.zhipin.com/gongsi/94737f6ff0ad577d1nZ70ty5FFM~.html
1122,资深算法工程师,杭州,杭州·西湖区·黄龙,快手,30-60K·16薪,60,30,45.0,本科,社交网络,3-5年,https://www.zhipin.com/gongsi/480261c022ea03d81nV53tQ~.html
1123,Python技术专家,杭州,杭州·余杭区·五常,智云健康,25-35K·15薪,35,25,30.0,本科,互联网,5-10年,https://www.zhipin.com/gongsi/cfeebd232d893a910XRz3g~~.html
1124,Python 工程师,杭州,杭州·西湖区·转塘,阿里云,12-24K·14薪,24,12,18.0,本科,互联网,1-3年,https://www.zhipin.com/gongsi/25c288dec22fec7c1nV8296_.html
1125,云平台高级研发工程师,杭州,杭州·滨江区·西兴,海康威视,15-30K·15薪,30,15,22.5,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/c95c8929496cc0281nN63du-.html
1126,python开发,杭州,杭州·滨江区·长河,神州新桥,12-18K·13薪,18,12,15.0,大专,互联网,3-5年,https://www.zhipin.com/gongsi/5e8b067bbbd80e601XN50925.html
1127,爬虫专家/主管,杭州,杭州·余杭区·五常,同花顺,30-50K,50,30,40.0,本科,互联网,3-5年,https://www.zhipin.com/gongsi/6e919732311f4d0b1HBy2N8~.html
1128,python开发,杭州,杭州·上城区·西湖,浙江优创,10-12K,12,10,11.0,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/2f5f88c9896c15ed1nV-09-4.html
1129,编程老师（双休+六险一金）,杭州,杭州·西湖区·文二路,新东方,10-15K,15,10,12.5,大专,在线教育,经验不限,https://www.zhipin.com/gongsi/78d37a40ee3fb9150HVz39S5Ew~~.html
1130,少儿编程讲师-五险一金-就近分配,杭州,杭州·余杭区·仓前,小码教育,10-14K,14,10,12.0,本科,在线教育,经验不限,https://www.zhipin.com/gongsi/f7f8ddf0deaa72f403Vy3du-.html
1131,Python开发工程师,杭州,杭州·滨江区·长河,软通动力,10-15K,15,10,12.5,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/c8311034740eee121nVz09S7E1U~.html
1132,web后端开发,杭州,杭州·滨江区·长河,网易杭州,7-12K,12,7,9.5,本科,互联网,1-3年,https://www.zhipin.com/gongsi/821662f4a993420c3nZ62dg~.html
